Año,Región,Mes,Provincia,Área Protegida,Total,Residentes,No residentes
2008,Litoral,Septiembre,Formosa,Río Pilcomayo,642,624,18
2008,Litoral,Septiembre,Misiones,Iguazú,81459,51447,30012
2008,Litoral,Octubre,Chaco,Chaco,554,521,33
2008,Litoral,Octubre,Corrientes,Mburucuyá,260,251,9
2008,Litoral,Octubre,Entre Ríos,El Palmar,15138,15048,90
2008,Litoral,Octubre,Entre Ríos,Pre Delta,326,323,3
2008,Litoral,Octubre,Formosa,Formosa,41,41,0
2008,Litoral,Octubre,Formosa,Río Pilcomayo,472,460,12
2008,Litoral,Octubre,Misiones,Iguazú,101273,58638,42635
2008,Litoral,Noviembre,Chaco,Chaco,336,322,14
2008,Litoral,Noviembre,Corrientes,Mburucuyá,165,150,15
2008,Litoral,Noviembre,Entre Ríos,El Palmar,11940,11839,101
2008,Litoral,Noviembre,Entre Ríos,Pre Delta,93,92,1
2008,Litoral,Noviembre,Formosa,Formosa,69,67,2
2008,Litoral,Noviembre,Formosa,Río Pilcomayo,644,632,12
2008,Litoral,Noviembre,Misiones,Iguazú,92308,41503,50805
2008,Litoral,Diciembre,Chaco,Chaco,193,178,15
2008,Litoral,Diciembre,Corrientes,Mburucuyá,112,107,5
2008,Litoral,Diciembre,Entre Ríos,El Palmar,6260,6184,76
2008,Litoral,Diciembre,Entre Ríos,Pre Delta,0,0,0
2008,Litoral,Diciembre,Formosa,Formosa,0,0,0
2008,Litoral,Diciembre,Formosa,Río Pilcomayo,931,896,35
2008,Litoral,Diciembre,Misiones,Iguazú,74451,30594,43857
2008,Norte,Enero,Jujuy,Calilegua,842,703,139
2008,Norte,Enero,Jujuy,Laguna de los Pozuelos,42,38,3
2008,Norte,Enero,La Rioja,Talampaya,3560,3008,552
2008,Norte,Enero,Salta,Baritú,11,11,0
2008,Norte,Enero,Salta,El Rey,24,20,4
2008,Norte,Enero,Salta,Los Cardones,478,407,71
2008,Norte,Enero,Santiago del Estero,Copo,54,49,5
2008,Norte,Enero,Tucumán,Aconquija,5,5,0
2008,Norte,Febrero,Jujuy,Calilegua,517,416,101
2008,Norte,Febrero,Jujuy,Laguna de los Pozuelos,36,22,14
2008,Norte,Febrero,La Rioja,Talampaya,3207,2602,605
2008,Norte,Febrero,Salta,Baritú,0,0,0
2008,Norte,Febrero,Salta,El Rey,8,2,6
2008,Norte,Febrero,Salta,Los Cardones,2591,2026,565
2008,Norte,Febrero,Santiago del Estero,Copo,34,31,3
2008,Norte,Febrero,Tucumán,Aconquija,0,0,0
2008,Norte,Marzo,Jujuy,Calilegua,644,511,133
2008,Norte,Marzo,Jujuy,Laguna de los Pozuelos,14,14,0
2008,Norte,Marzo,La Rioja,Talampaya,5681,5007,674
2008,Norte,Marzo,Salta,Baritú,9,5,4
2008,Norte,Marzo,Salta,El Rey,21,20,1
2008,Norte,Marzo,Salta,Los Cardones,4514,3631,883
2008,Norte,Marzo,Santiago del Estero,Copo,12,12,0
2008,Norte,Marzo,Tucumán,Aconquija,5,4,1
2008,Norte,Abril,Jujuy,Calilegua,480,389,91
2008,Norte,Abril,Jujuy,Laguna de los Pozuelos,38,26,12
2008,Norte,Abril,La Rioja,Talampaya,3424,2949,475
2008,Norte,Abril,Salta,Baritú,0,0,0
2008,Norte,Abril,Salta,El Rey,14,12,2
2008,Norte,Abril,Salta,Los Cardones,609,463,146
2008,Norte,Abril,Santiago del Estero,Copo,23,23,0
2008,Norte,Abril,Tucumán,Aconquija,7,5,2
2008,Norte,Mayo,Jujuy,Calilegua,957,862,95
2008,Norte,Mayo,Jujuy,Laguna de los Pozuelos,122,107,15
2008,Norte,Mayo,La Rioja,Talampaya,3946,3531,415
2008,Norte,Mayo,Salta,Baritú,8,8,0
2008,Norte,Mayo,Salta,El Rey,32,24,8
2008,Norte,Mayo,Salta,Los Cardones,608,484,124
2008,Norte,Mayo,Santiago del Estero,Copo,25,19,6
2008,Norte,Mayo,Tucumán,Aconquija,48,48,0
2008,Norte,Junio,Jujuy,Calilegua,721,681,40
2008,Norte,Junio,Jujuy,Laguna de los Pozuelos,5,3,2
2008,Norte,Junio,La Rioja,Talampaya,2091,1917,174
2008,Norte,Junio,Salta,Baritú,5,4,1
2008,Norte,Junio,Salta,El Rey,159,155,4
2008,Norte,Junio,Salta,Los Cardones,929,746,183
2008,Norte,Junio,Santiago del Estero,Copo,28,23,5
2008,Norte,Junio,Tucumán,Aconquija,50,50,0
2008,Norte,Julio,Jujuy,Calilegua,2231,2043,188
2008,Norte,Julio,Jujuy,Laguna de los Pozuelos,52,26,26
2008,Norte,Julio,La Rioja,Talampaya,10233,9750,483
2008,Norte,Julio,Salta,Baritú,48,48,0
2008,Norte,Julio,Salta,El Rey,188,159,29
2008,Norte,Julio,Salta,Los Cardones,9314,7565,1749
2008,Norte,Julio,Santiago del Estero,Copo,26,26,0
2008,Norte,Julio,Tucumán,Aconquija,9,9,0
2008,Norte,Agosto,Jujuy,Calilegua,1385,1233,152
2008,Norte,Agosto,Jujuy,Laguna de los Pozuelos,42,5,37
2008,Norte,Agosto,La Rioja,Talampaya,9243,8471,772
2008,Norte,Agosto,Salta,Baritú,6,6,0
2008,Norte,Agosto,Salta,El Rey,126,113,13
2008,Norte,Agosto,Salta,Los Cardones,557,475,82
2008,Norte,Agosto,Santiago del Estero,Copo,31,22,9
2008,Norte,Agosto,Tucumán,Aconquija,2,1,1
2008,Norte,Septiembre,Jujuy,Calilegua,1128,1014,114
2008,Norte,Septiembre,Jujuy,Laguna de los Pozuelos,52,30,22
2008,Norte,Septiembre,La Rioja,Talampaya,5649,5183,466
2008,Norte,Septiembre,Salta,Baritú,6,6,0
2008,Norte,Septiembre,Salta,El Rey,12,9,3
2008,Norte,Septiembre,Salta,Los Cardones,2815,2062,753
2008,Norte,Septiembre,Santiago del Estero,Copo,18,14,4
2008,Norte,Septiembre,Tucumán,Aconquija,1,1,0
2008,Norte,Octubre,Jujuy,Calilegua,1485,1270,215
2008,Norte,Octubre,Jujuy,Laguna de los Pozuelos,8,2,6
2008,Norte,Octubre,La Rioja,Talampaya,5688,5040,648
2008,Norte,Octubre,Salta,Baritú,14,14,0
2008,Norte,Octubre,Salta,El Rey,87,66,21
2008,Norte,Octubre,Salta,Los Cardones,1759,1339,420
2008,Norte,Octubre,Santiago del Estero,Copo,18,14,4
2008,Norte,Octubre,Tucumán,Aconquija,7,2,5
2008,Norte,Noviembre,Jujuy,Calilegua,1308,1148,160
2008,Norte,Noviembre,Jujuy,Laguna de los Pozuelos,42,13,29
2008,Norte,Noviembre,La Rioja,Talampaya,3167,2395,772
2008,Norte,Noviembre,Salta,Baritú,0,0,0
2008,Norte,Noviembre,Salta,El Rey,35,16,19
2008,Norte,Noviembre,Salta,Los Cardones,1330,908,422
2008,Norte,Noviembre,Santiago del Estero,Copo,25,20,5
2008,Norte,Noviembre,Tucumán,Aconquija,2,2,0
2008,Norte,Diciembre,Jujuy,Calilegua,797,704,93
2008,Norte,Diciembre,Jujuy,Laguna de los Pozuelos,8,4,4
2008,Norte,Diciembre,La Rioja,Talampaya,1663,1014,649
2008,Norte,Diciembre,Salta,Baritú,2,2,0
2008,Norte,Diciembre,Salta,El Rey,12,5,7
2008,Norte,Diciembre,Salta,Los Cardones,5652,4163,1489
2008,Norte,Diciembre,Santiago del Estero,Copo,20,18,2
2008,Norte,Diciembre,Tucumán,Aconquija,8,8,0
2008,Patagonia,Enero,Chubut,Lago Puelo,49900,16200,33700
2008,Patagonia,Enero,Chubut,Los Alerces,38260,36360,1900
2008,Patagonia,Enero,La Pampa,Lihué Calel,1188,1124,64
2008,Patagonia,Enero,Neuquén,Lanín,31823,30666,1157
2008,Patagonia,Enero,Neuquén,Los Arrayanes,14420,12913,1507
2008,Patagonia,Enero,Río Negro - Neuquén,Nahuel Huapi,38378,28720,9658
2008,Patagonia,Enero,Santa Cruz,Bosques Petrificados,2951,2587,364
2008,Patagonia,Enero,Santa Cruz,Los Glaciares,129438,66242,63196
2008,Patagonia,Enero,Santa Cruz,Monte León,2033,1709,324
2008,Patagonia,Enero,Santa Cruz,Perito Moreno,430,257,173
2008,Patagonia,Enero,Tierra del Fuego,Tierra del Fuego,63239,33309,29930
2008,Patagonia,Febrero,Chubut,Lago Puelo,41600,38800,2800
2008,Patagonia,Febrero,Chubut,Los Alerces,24244,22444,1800
2008,Patagonia,Febrero,La Pampa,Lihué Calel,1328,1257,71
2008,Patagonia,Febrero,Neuquén,Lanín,25916,24332,1584
2008,Patagonia,Febrero,Neuquén,Los Arrayanes,10533,8762,1771
2008,Patagonia,Febrero,Río Negro - Neuquén,Nahuel Huapi,35446,26150,9296
2008,Patagonia,Febrero,Santa Cruz,Bosques Petrificados,1911,1584,327
2008,Patagonia,Febrero,Santa Cruz,Los Glaciares,90118,39484,50634
2008,Patagonia,Febrero,Santa Cruz,Monte León,993,815,178
2008,Patagonia,Febrero,Santa Cruz,Perito Moreno,284,166,118
2008,Patagonia,Febrero,Tierra del Fuego,Tierra del Fuego,50550,22497,28053
2008,Patagonia,Marzo,Chubut,Lago Puelo,19012,17772,1240
2008,Patagonia,Marzo,Chubut,Los Alerces,12759,11607,1152
2008,Patagonia,Marzo,La Pampa,Lihué Calel,994,959,35
2008,Patagonia,Marzo,Neuquén,Lanín,8582,7962,620
2008,Patagonia,Marzo,Neuquén,Los Arrayanes,6798,5674,1124
2008,Patagonia,Marzo,Río Negro - Neuquén,Nahuel Huapi,25495,17252,8243
2008,Patagonia,Marzo,Santa Cruz,Bosques Petrificados,1066,953,113
2008,Patagonia,Marzo,Santa Cruz,Los Glaciares,72935,9058,63877
2008,Patagonia,Marzo,Santa Cruz,Monte León,549,486,63
2008,Patagonia,Marzo,Santa Cruz,Perito Moreno,130,74,56
2008,Patagonia,Marzo,Tierra del Fuego,Tierra del Fuego,41379,26520,14859
2008,Patagonia,Abril,Chubut,Lago Puelo,0,0,0
2008,Patagonia,Abril,Chubut,Los Alerces,8810,8607,204
2008,Patagonia,Abril,La Pampa,Lihué Calel,281,264,17
2008,Patagonia,Abril,Neuquén,Lanín,1677,1567,110
2008,Patagonia,Abril,Neuquén,Los Arrayanes,2236,1673,563
2008,Patagonia,Abril,Río Negro - Neuquén,Nahuel Huapi,10719,6568,4151
2008,Patagonia,Abril,Santa Cruz,Bosques Petrificados,365,347,18
2008,Patagonia,Abril,Santa Cruz,Los Glaciares,30370,4720,25650
2008,Patagonia,Abril,Santa Cruz,Monte León,96,72,24
2008,Patagonia,Abril,Santa Cruz,Perito Moreno,0,0,0
2008,Patagonia,Abril,Tierra del Fuego,Tierra del Fuego,13325,7303,6022
2008,Patagonia,Mayo,Chubut,Lago Puelo,0,0,0
2008,Patagonia,Mayo,Chubut,Los Alerces,361,318,44
2008,Patagonia,Mayo,La Pampa,Lihué Calel,329,327,2
2008,Patagonia,Mayo,Neuquén,Lanín,917,917,0
2008,Patagonia,Mayo,Neuquén,Los Arrayanes,550,445,105
2008,Patagonia,Mayo,Río Negro - Neuquén,Nahuel Huapi,4804,3007,1797
2008,Patagonia,Mayo,Santa Cruz,Bosques Petrificados,71,67,4
2008,Patagonia,Mayo,Santa Cruz,Los Glaciares,11180,1547,9633
2008,Patagonia,Mayo,Santa Cruz,Monte León,0,0,0
2008,Patagonia,Mayo,Santa Cruz,Perito Moreno,0,0,0
2008,Patagonia,Mayo,Tierra del Fuego,Tierra del Fuego,5994,4541,1453
2008,Patagonia,Junio,Chubut,Lago Puelo,0,0,0
2008,Patagonia,Junio,Chubut,Los Alerces,94,76,18
2008,Patagonia,Junio,La Pampa,Lihué Calel,170,166,4
2008,Patagonia,Junio,Neuquén,Lanín,1600,1400,200
2008,Patagonia,Junio,Neuquén,Los Arrayanes,768,475,293
2008,Patagonia,Junio,Río Negro - Neuquén,Nahuel Huapi,8439,4591,3848
2008,Patagonia,Junio,Santa Cruz,Bosques Petrificados,45,43,2
2008,Patagonia,Junio,Santa Cruz,Los Glaciares,5689,448,5241
2008,Patagonia,Junio,Santa Cruz,Monte León,0,0,0
2008,Patagonia,Junio,Santa Cruz,Perito Moreno,0,0,0
2008,Patagonia,Junio,Tierra del Fuego,Tierra del Fuego,3366,2651,715
2008,Patagonia,Julio,Chubut,Lago Puelo,0,0,0
2008,Patagonia,Julio,Chubut,Los Alerces,684,655,29
2008,Patagonia,Julio,La Pampa,Lihué Calel,507,498,9
2008,Patagonia,Julio,Neuquén,Lanín,200,100,100
2008,Patagonia,Julio,Neuquén,Los Arrayanes,2584,1855,729
2008,Patagonia,Julio,Río Negro - Neuquén,Nahuel Huapi,27327,15250,12077
2008,Patagonia,Julio,Santa Cruz,Bosques Petrificados,57,49,8
2008,Patagonia,Julio,Santa Cruz,Los Glaciares,6555,1089,5466
2008,Patagonia,Julio,Santa Cruz,Monte León,0,0,0
2008,Patagonia,Julio,Santa Cruz,Perito Moreno,0,0,0
2008,Patagonia,Julio,Tierra del Fuego,Tierra del Fuego,5836,2843,2993
2008,Patagonia,Agosto,Chubut,Lago Puelo,0,0,0
2008,Patagonia,Agosto,Chubut,Los Alerces,854,796,58
2008,Patagonia,Agosto,La Pampa,Lihué Calel,502,490,12
2008,Patagonia,Agosto,Neuquén,Lanín,1700,1700,0
2008,Patagonia,Agosto,Neuquén,Los Arrayanes,2214,1667,547
2008,Patagonia,Agosto,Río Negro - Neuquén,Nahuel Huapi,16296,10079,6217
2008,Patagonia,Agosto,Santa Cruz,Bosques Petrificados,74,71,3
2008,Patagonia,Agosto,Santa Cruz,Los Glaciares,15701,3020,12681
2008,Patagonia,Agosto,Santa Cruz,Monte León,0,0,0
2008,Patagonia,Agosto,Santa Cruz,Perito Moreno,0,0,0
2008,Patagonia,Agosto,Tierra del Fuego,Tierra del Fuego,7763,3105,4658
2008,Patagonia,Septiembre,Chubut,Lago Puelo,0,0,0
2008,Patagonia,Septiembre,Chubut,Los Alerces,978,925,53
2008,Patagonia,Septiembre,La Pampa,Lihué Calel,799,792,7
2008,Patagonia,Septiembre,Neuquén,Lanín,502,502,0
2008,Patagonia,Septiembre,Neuquén,Los Arrayanes,2825,2214,611
2008,Patagonia,Septiembre,Río Negro - Neuquén,Nahuel Huapi,19553,13744,5809
2008,Patagonia,Septiembre,Santa Cruz,Bosques Petrificados,173,147,26
2008,Patagonia,Septiembre,Santa Cruz,Los Glaciares,27130,10836,16294
2008,Patagonia,Septiembre,Santa Cruz,Monte León,54,51,3
2008,Patagonia,Septiembre,Santa Cruz,Perito Moreno,0,0,0
2008,Patagonia,Septiembre,Tierra del Fuego,Tierra del Fuego,13841,4152,9689
2008,Patagonia,Octubre,Chubut,Lago Puelo,0,0,0
2008,Patagonia,Octubre,Chubut,Los Alerces,1268,1029,239
2008,Patagonia,Octubre,La Pampa,Lihué Calel,2077,2053,24
2008,Patagonia,Octubre,Neuquén,Lanín,2884,2584,300
2008,Patagonia,Octubre,Neuquén,Los Arrayanes,3563,2923,640
2008,Patagonia,Octubre,Río Negro - Neuquén,Nahuel Huapi,26420,19754,6666
2008,Patagonia,Octubre,Santa Cruz,Bosques Petrificados,403,316,87
2008,Patagonia,Octubre,Santa Cruz,Los Glaciares,50048,17867,32181
2008,Patagonia,Octubre,Santa Cruz,Monte León,297,206,91
2008,Patagonia,Octubre,Santa Cruz,Perito Moreno,37,9,28
2008,Patagonia,Octubre,Tierra del Fuego,Tierra del Fuego,21466,12076,9390
2008,Patagonia,Noviembre,Chubut,Lago Puelo,0,0,0
2008,Patagonia,Noviembre,Chubut,Los Alerces,2795,2003,792
2008,Patagonia,Noviembre,La Pampa,Lihué Calel,1353,1315,38
2008,Patagonia,Noviembre,Neuquén,Lanín,1300,1200,100
2008,Patagonia,Noviembre,Neuquén,Los Arrayanes,3471,2127,1344
2008,Patagonia,Noviembre,Río Negro - Neuquén,Nahuel Huapi,24075,15862,8213
2008,Patagonia,Noviembre,Santa Cruz,Bosques Petrificados,777,560,217
2008,Patagonia,Noviembre,Santa Cruz,Los Glaciares,64892,16520,48372
2008,Patagonia,Noviembre,Santa Cruz,Monte León,701,322,379
2008,Patagonia,Noviembre,Santa Cruz,Perito Moreno,217,59,157
2008,Patagonia,Noviembre,Tierra del Fuego,Tierra del Fuego,33481,11982,21499
2008,Patagonia,Diciembre,Chubut,Lago Puelo,2588,2588,0
2008,Patagonia,Diciembre,Chubut,Los Alerces,1000,1000,0
2008,Patagonia,Diciembre,La Pampa,Lihué Calel,703,642,61
2008,Patagonia,Diciembre,Neuquén,Lanín,5400,5000,400
2008,Patagonia,Diciembre,Neuquén,Los Arrayanes,4430,3263,1167
2008,Patagonia,Diciembre,Río Negro - Neuquén,Nahuel Huapi,29953,23182,6771
